Colour_1,Colour_2,Ecc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,text_23.started,text_23.stopped,response1disk_2.started,response1disk_2.stopped,response2disk_2.started,response2disk_2.stopped,response3disk_2.started,response3disk_2.stopped,response4disk_2.started,response4disk_2.stopped,response5disk_2.started,response5disk_2.stopped,response6disk_2.started,response6disk_2.stopped,response7disk_2.started,response7disk_2.stopped,response8disk_2.started,response8disk_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,rectangle.started,rectangle.stopped,text_25.started,text_25.stopped,text_24.started,text_24.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,6,PF,0,0,0,0,77.43029577998095,77.72156643398921,77.43029577998095,None,77.89205340199987,None,77.89205340199987,None,77.89205340199987,None,77.89205340199987,None,77.89205340199987,None,77.89205340199987,None,77.89205340199987,None,77.89205340199987,None,-0.03625,-0.10875,1,0,0,response5disk,0.013753495673881844,None,77.89205340199987,None,77.89205340199987,None,79.27785059198504,None,79.27785059198504,None,79.27785059198504,None,79.27785059198504,None,79.27785059198504,None,79.27785059198504,None,79.27785059198504,None,79.27785059198504,None,0.00125,-0.00375,1,0,0,rectangle,0.0020289639942348003,None,79.27785059198504,None,79.27785059198504,None,79.27785059198504,None,,001,2020_Oct_10_1536,Simcolourproject_2stim_asymm_v1,2020.1.2,None,
1,3,PF,0,1,1,1,79.95978660698165,80.22848039897508,79.95978660698165,None,80.46487100300146,None,80.46487100300146,None,80.46487100300146,None,80.46487100300146,None,80.46487100300146,None,80.46487100300146,None,80.46487100300146,None,80.46487100300146,None,-0.0425,0.10625,1,0,0,response7disk,0.015648903645342216,None,80.46487100300146,None,80.46487100300146,None,81.20032289100345,None,81.20032289100345,None,81.20032289100345,None,81.20032289100345,None,81.20032289100345,None,81.20032289100345,None,81.20032289100345,None,81.20032289100345,None,0.0,-0.0125,1,0,0,rectangle,0.0073207642999477684,None,81.20032289100345,None,81.20032289100345,None,81.20032289100345,None,,001,2020_Oct_10_1536,Simcolourproject_2stim_asymm_v1,2020.1.2,None,
1,2,FF,0,2,2,2,81.68239337697742,81.97034273599274,81.68239337697742,None,82.2200580679928,None,82.2200580679928,None,82.2200580679928,None,82.2200580679928,None,82.2200580679928,None,82.2200580679928,None,82.2200580679928,None,82.2200580679928,None,-0.08125,0.0375,1,0,0,response7disk,0.015509481658227742,None,82.2200580679928,None,82.2200580679928,None,82.83118779899087,None,82.83118779899087,None,82.83118779899087,None,82.83118779899087,None,82.83118779899087,None,82.83118779899087,None,82.83118779899087,None,82.83118779899087,None,-0.01,0.00875,1,0,0,rectangle,0.008151338319294155,None,82.83118779899087,None,82.83118779899087,None,82.83118779899087,None,,001,2020_Oct_10_1536,Simcolourproject_2stim_asymm_v1,2020.1.2,None,
3,8,PF,0,3,3,3,83.305483618984,83.59725485398667,83.305483618984,None,83.83831183699658,None,83.83831183699658,None,83.83831183699658,None,83.83831183699658,None,83.83831183699658,None,83.83831183699658,None,83.83831183699658,None,83.83831183699658,None,0.10625,-0.055,1,0,0,response3disk,0.015247343661030754,None,83.83831183699658,None,83.83831183699658,None,84.4465263739985,None,84.4465263739985,None,84.4465263739985,None,84.4465263739985,None,84.4465263739985,None,84.4465263739985,None,84.4465263739985,None,84.4465263739985,None,0.03,-0.0075,1,0,0,rectangle,0.012561648298287764,None,84.4465263739985,None,84.4465263739985,None,84.4465263739985,None,,001,2020_Oct_10_1536,Simcolourproject_2stim_asymm_v1,2020.1.2,None,
3,3,PF,0,4,4,4,85.047692438995,85.31534352997551,85.047692438995,None,85.55204451299505,None,85.55204451299505,None,85.55204451299505,None,85.55204451299505,None,85.55204451299505,None,85.55204451299505,None,85.55204451299505,None,85.55204451299505,None,0.10375,0.04875,1,0,0,response1disk,0.014551133644999936,None,85.55204451299505,None,85.55204451299505,None,86.12587620699196,None,86.12587620699196,None,86.12587620699196,None,86.12587620699196,None,86.12587620699196,None,86.12587620699196,None,86.12587620699196,None,86.12587620699196,None,0.01125,-0.0075,1,0,0,rectangle,0.008996529300929978,None,86.12587620699196,None,86.12587620699196,None,86.12587620699196,None,,001,2020_Oct_10_1536,Simcolourproject_2stim_asymm_v1,2020.1.2,None,
6,1,FF,0,5,5,5,86.68879938899772,86.95590314400033,86.68879938899772,None,87.20867880198057,None,87.20867880198057,None,87.20867880198057,None,87.20867880198057,None,87.20867880198057,None,87.20867880198057,None,87.20867880198057,None,87.20867880198057,None,0.0575,-0.13125,1,0,0,response3disk,0.013679445692105219,None,87.20867880198057,None,87.20867880198057,None,88.10070382698905,None,88.10070382698905,None,88.10070382698905,None,88.10070382698905,None,88.10070382698905,None,88.10070382698905,None,88.10070382698905,None,88.10070382698905,None,-0.01875,0.0075,1,0,0,rectangle,0.005679123307345435,None,88.10070382698905,None,88.10070382698905,None,88.10070382698905,None,,001,2020_Oct_10_1536,Simcolourproject_2stim_asymm_v1,2020.1.2,None,
9,8,FF,0,6,6,6,88.9584087980038,89.22508057797677,88.9584087980038,None,89.49164477898739,None,89.49164477898739,None,89.49164477898739,None,89.49164477898739,None,89.49164477898739,None,89.49164477898739,None,89.49164477898739,None,89.49164477898739,None,-0.03875,-0.09625,1,0,0,response5disk,0.01467851662891917,None,89.49164477898739,None,89.49164477898739,None,90.46976868098136,None,90.46976868098136,None,90.46976868098136,None,90.46976868098136,None,90.46976868098136,None,90.46976868098136,None,90.46976868098136,None,90.46976868098136,None,-0.01625,-0.005,1,0,0,rectangle,0.008279518311610445,None,90.46976868098136,None,90.46976868098136,None,90.46976868098136,None,,001,2020_Oct_10_1536,Simcolourproject_2stim_asymm_v1,2020.1.2,None,
5,7,FF,0,7,7,7,91.30183616897557,91.57993946000352,91.30183616897557,None,91.80908281498705,None,91.80908281498705,None,91.80908281498705,None,91.80908281498705,None,91.80908281498705,None,91.80908281498705,None,91.80908281498705,None,91.80908281498705,None,0.0525,-0.11875,1,0,0,response3disk,0.015693538647610694,None,91.80908281498705,None,91.80908281498705,None,92.62509980998584,None,92.62509980998584,None,92.62509980998584,None,92.62509980998584,None,92.62509980998584,None,92.62509980998584,None,92.62509980998584,None,92.62509980998584,None,0.01875,-0.00375,1,0,0,rectangle,0.0034943423233926296,None,92.62509980998584,None,92.62509980998584,None,92.62509980998584,None,,001,2020_Oct_10_1536,Simcolourproject_2stim_asymm_v1,2020.1.2,None,
5,4,FF,0,8,8,8,93.15661918598926,93.44548365898663,93.15661918598926,None,93.67692460599937,None,93.67692460599937,None,93.67692460599937,None,93.67692460599937,None,93.67692460599937,None,93.67692460599937,None,93.67692460599937,None,93.67692460599937,None,0.08125,-0.04125,1,0,0,response3disk,0.01491709568654187,None,93.67692460599937,None,93.67692460599937,None,94.44452048800304,None,94.44452048800304,None,94.44452048800304,None,94.44452048800304,None,94.44452048800304,None,94.44452048800304,None,94.44452048800304,None,94.44452048800304,None,0.01625,-0.00875,1,0,0,rectangle,0.01439665534417145,None,94.44452048800304,None,94.44452048800304,None,94.44452048800304,None,,001,2020_Oct_10_1536,Simcolourproject_2stim_asymm_v1,2020.1.2,None,
,,,,,,,94.98719472598168,95.26223473198479,94.98719472598168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
