Colour_1,Colour_2,Ecc,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Circle_1.started,Circle_1.stopped,centre_cross4.started,centre_cross4.stopped,response1disk.started,response1disk.stopped,response2disk.started,response2disk.stopped,response3disk.started,response3disk.stopped,response4disk.started,response4disk.stopped,response5disk.started,response5disk.stopped,response6disk.started,response6disk.stopped,response7disk.started,response7disk.stopped,response8disk.started,response8disk.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse.started,mouse.stopped,Circle_2.started,Circle_2.stopped,text_23.started,text_23.stopped,response1disk_3.started,response1disk_3.stopped,response2disk_3.started,response2disk_3.stopped,response3disk_3.started,response3disk_3.stopped,response4disk_3.started,response4disk_3.stopped,response5disk_3.started,response5disk_3.stopped,response6disk_3.started,response6disk_3.stopped,response7disk_3.started,response7disk_3.stopped,response8disk_3.started,response8disk_3.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,mouse_3.started,mouse_3.stopped,text_26.started,text_26.stopped,rectangle_2.started,rectangle_2.stopped,response1disk_2.started,response1disk_2.stopped,response2disk_2.started,response2disk_2.stopped,response3disk_2.started,response3disk_2.stopped,response4disk_2.started,response4disk_2.stopped,response5disk_2.started,response5disk_2.stopped,response6disk_2.started,response6disk_2.stopped,response7disk_2.started,response7disk_2.stopped,response8disk_2.started,response8disk_2.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_2.started,mouse_2.stopped,rectangle.started,rectangle.stopped,text_25.started,text_25.stopped,text_24.started,text_24.stopped,participant,session,date,expName,psychopyVersion,frameRate,
6,6,PF,0,0,0,0,65.94334579998394,66.20788346399786,65.94334579998394,None,66.44007399398834,None,66.44007399398834,None,66.44007399398834,None,66.44007399398834,None,66.44007399398834,None,66.44007399398834,None,66.44007399398834,None,66.44007399398834,None,-0.06125,-0.10125,1,0,0,response5disk,0.015391997119877487,None,66.44007399398834,None,66.44007399398834,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.06125,-0.10125,1,0,0,response5disk,None,None,None,None,None,None,68.39164495898876,None,68.39164495898876,None,68.39164495898876,None,68.39164495898876,None,68.39164495898876,None,68.39164495898876,None,68.39164495898876,None,68.39164495898876,None,-0.02375,-0.00125,1,0,0,rectangle,0.009645788290072232,None,68.39164495898876,None,68.39164495898876,None,68.39164495898876,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
1,3,PF,0,1,1,1,68.79209556500427,69.04179169796407,68.79209556500427,None,69.29291171696968,None,69.29291171696968,None,69.29291171696968,None,69.29291171696968,None,69.29291171696968,None,69.29291171696968,None,69.29291171696968,None,69.29291171696968,None,0.06375,-0.135,1,0,0,response3disk,0.015816473111044616,None,69.29291171696968,None,69.29291171696968,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.06375,-0.135,1,0,0,response3disk,None,None,None,None,None,None,69.57460907497443,None,69.57460907497443,None,69.57460907497443,None,69.57460907497443,None,69.57460907497443,None,69.57460907497443,None,69.57460907497443,None,69.57460907497443,None,0.00375,-0.03625,1,0,0,rectangle,0.007704355171881616,None,69.57460907497443,None,69.57460907497443,None,69.57460907497443,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
1,2,FF,0,2,2,2,69.92902563797543,70.19244287098991,69.92902563797543,None,70.4431615609792,None,70.4431615609792,None,70.4431615609792,None,70.4431615609792,None,70.4431615609792,None,70.4431615609792,None,70.4431615609792,None,70.4431615609792,None,-0.04125,-0.11875,1,0,0,response5disk,0.01580416806973517,None,70.4431615609792,None,70.4431615609792,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.04125,-0.11875,1,0,0,response5disk,None,None,None,None,None,None,72.42685767199146,None,72.42685767199146,None,72.42685767199146,None,72.42685767199146,None,72.42685767199146,None,72.42685767199146,None,72.42685767199146,None,72.42685767199146,None,0.0,0.01,1,0,0,rectangle,0.010453620227053761,None,72.42685767199146,None,72.42685767199146,None,72.42685767199146,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
3,8,PF,0,3,3,3,72.77959552698303,73.0435520199826,72.77959552698303,None,73.29429089295445,None,73.29429089295445,None,73.29429089295445,None,73.29429089295445,None,73.29429089295445,None,73.29429089295445,None,73.29429089295445,None,73.29429089295445,None,-0.10125,-0.055,1,0,0,response5disk,0.01580639008898288,None,73.29429089295445,None,73.29429089295445,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.10125,-0.055,1,0,0,response5disk,None,None,None,None,None,None,73.8974479669705,None,73.8974479669705,None,73.8974479669705,None,73.8974479669705,None,73.8974479669705,None,73.8974479669705,None,73.8974479669705,None,73.8974479669705,None,-0.00875,0.0125,1,0,0,rectangle,0.012571787287015468,None,73.8974479669705,None,73.8974479669705,None,73.8974479669705,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
3,3,PF,0,4,4,4,74.26405810500728,74.52783729298972,74.26405810500728,None,74.77749826095533,None,74.77749826095533,None,74.77749826095533,None,74.77749826095533,None,74.77749826095533,None,74.77749826095533,None,74.77749826095533,None,74.77749826095533,None,0.095,-0.11125,1,0,0,response3disk,0.015944312093779445,None,74.77749826095533,None,74.77749826095533,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.095,-0.11125,1,0,0,response3disk,None,None,None,None,None,None,75.04591527895536,None,75.04591527895536,None,75.04591527895536,None,75.04591527895536,None,75.04591527895536,None,75.04591527895536,None,75.04591527895536,None,75.04591527895536,None,0.005,-0.00125,1,0,0,rectangle,0.013820081192534417,None,75.04591527895536,None,75.04591527895536,None,75.04591527895536,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
6,1,FF,0,5,5,5,75.52970507595455,75.79511388397077,75.52970507595455,None,76.02841851400444,None,76.02841851400444,None,76.02841851400444,None,76.02841851400444,None,76.02841851400444,None,76.02841851400444,None,76.02841851400444,None,76.02841851400444,None,0.13125,-0.035,1,0,0,response3disk,0.01572678709635511,None,76.02841851400444,None,76.02841851400444,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.13125,-0.035,1,0,0,response3disk,None,None,None,None,None,None,76.43123143195407,None,76.43123143195407,None,76.43123143195407,None,76.43123143195407,None,76.43123143195407,None,76.43123143195407,None,76.43123143195407,None,76.43123143195407,None,0.015,-0.00625,1,0,0,rectangle,0.011652265267912298,None,76.43123143195407,None,76.43123143195407,None,76.43123143195407,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
9,8,FF,0,6,6,6,76.83145802997751,77.09564624697668,76.83145802997751,None,77.34624999499647,None,77.34624999499647,None,77.34624999499647,None,77.34624999499647,None,77.34624999499647,None,77.34624999499647,None,77.34624999499647,None,77.34624999499647,None,0.05625,0.09625,1,0,0,response1disk,0.015734497108496726,None,77.34624999499647,None,77.34624999499647,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.05625,0.09625,1,0,0,response1disk,None,None,None,None,None,None,77.89561675698496,None,77.89561675698496,None,77.89561675698496,None,77.89561675698496,None,77.89561675698496,None,77.89561675698496,None,77.89561675698496,None,77.89561675698496,None,-0.005,-0.00125,1,0,0,rectangle,0.009055500151589513,None,77.89561675698496,None,77.89561675698496,None,77.89561675698496,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
5,7,FF,0,7,7,7,78.28224303695606,78.54659526096657,78.28224303695606,None,78.79736677597975,None,78.79736677597975,None,78.79736677597975,None,78.79736677597975,None,78.79736677597975,None,78.79736677597975,None,78.79736677597975,None,78.79736677597975,None,0.05875,-0.08875,1,0,0,response3disk,0.015689131105318666,None,78.79736677597975,None,78.79736677597975,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.05875,-0.08875,1,0,0,response3disk,None,None,None,None,None,None,79.29615626495797,None,79.29615626495797,None,79.29615626495797,None,79.29615626495797,None,79.29615626495797,None,79.29615626495797,None,79.29615626495797,None,79.29615626495797,None,0.015,0.0025,1,0,0,rectangle,0.011979533242993057,None,79.29615626495797,None,79.29615626495797,None,79.29615626495797,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
5,4,FF,0,8,8,8,79.78333832899807,80.04718923097244,79.78333832899807,None,80.29796566296136,None,80.29796566296136,None,80.29796566296136,None,80.29796566296136,None,80.29796566296136,None,80.29796566296136,None,80.29796566296136,None,80.29796566296136,None,-0.05125,-0.1,1,0,0,response5disk,0.015777953143697232,None,80.29796566296136,None,80.29796566296136,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-0.05125,-0.1,1,0,0,response5disk,None,None,None,None,None,None,80.83389058196917,None,80.83389058196917,None,80.83389058196917,None,80.83389058196917,None,80.83389058196917,None,80.83389058196917,None,80.83389058196917,None,80.83389058196917,None,-0.00375,0.00625,1,0,0,rectangle,0.012397580198012292,None,80.83389058196917,None,80.83389058196917,None,80.83389058196917,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
2,1,PF,0,9,9,9,81.36830849997932,81.63133429497248,81.36830849997932,None,81.88347428198904,None,81.88347428198904,None,81.88347428198904,None,81.88347428198904,None,81.88347428198904,None,81.88347428198904,None,81.88347428198904,None,81.88347428198904,None,0.10875,-0.0575,1,0,0,response3disk,0.01552692212862894,None,81.88347428198904,None,81.88347428198904,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.10875,-0.0575,1,0,0,response3disk,None,None,None,None,None,None,82.3811502919998,None,82.3811502919998,None,82.3811502919998,None,82.3811502919998,None,82.3811502919998,None,82.3811502919998,None,82.3811502919998,None,82.3811502919998,None,-0.0075,-0.00625,1,0,0,rectangle,0.011007666180375963,None,82.3811502919998,None,82.3811502919998,None,82.3811502919998,None,,001,2020_Oct_12_1232,Simcolourproject_2stim_asymm_v1,2020.1.2,59.90287383565077,
